Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
ETH,2019-03-17,138.3158541993,140.3810021455,140.4071487498,136.6650847313
ETH,2019-03-18,137.3255003263,138.3259516038,141.1925474255,135.7379400447
ETH,2019-03-19,137.6186420541,136.9880792838,138.70850035,136.3273094607
ETH,2019-03-20,138.8187357275,137.6183717495,139.0857550616,135.744654638
ETH,2019-03-21,134.8007697238,138.5590735835,139.0603972222,132.3140785395
ETH,2019-03-22,136.0194987123,134.7910274134,136.995373498,134.056489333
ETH,2019-03-23,136.4499003611,135.7098431562,137.6065983039,135.541304583
ETH,2019-03-24,135.3985811821,136.4499003611,136.781789431,134.4535309838
ETH,2019-03-25,133.3026313866,135.3987134978,136.2429513742,131.9485493951
ETH,2019-03-26,133.491076466,133.3026313903,134.0453116715,131.8460824887
ETH,2019-03-27,138.0700978023,133.6068482132,138.4396785207,133.3502828326
ETH,2019-03-28,137.3131883414,138.0713549413,139.6121758174,136.9036614054
ETH,2019-03-29,141.3032261861,137.3131894522,141.9577680655,137.3054559103
ETH,2019-03-30,141.9411061732,142.9308878601,145.3971303255,140.1061777971
ETH,2019-03-31,141.3437324434,141.9411061732,142.3020308014,140.4430786403
ETH,2019-04-01,141.7132480977,141.3437324434,143.4213245899,139.6024911608
ETH,2019-04-02,162.4298499194,141.7131425735,162.4298499194,141.1391834781
ETH,2019-04-03,164.7095956211,162.4258216156,178.7461974501,161.3090185289
ETH,2019-04-04,157.0412172898,160.9538666575,164.7657107971,153.7237594135
ETH,2019-04-05,165.9009262332,157.0468402461,168.4524557544,156.4458813124
ETH,2019-04-06,165.1570911346,165.6701460262,173.1086202004,160.5805099234
ETH,2019-04-07,173.9915868596,165.1570733238,176.2497243452,164.3032370269
ETH,2019-04-08,180.2351402374,174.8922261462,186.6640292356,173.0594830604
ETH,2019-04-09,176.1470907475,180.2311269375,181.0021666632,173.9740099774
ETH,2019-04-10,176.9719356847,176.1472961606,184.5993879421,170.9414176756
ETH,2019-04-11,165.6442939753,177.6830927779,177.862885283,160.3467721447
ETH,2019-04-12,165.2382409608,165.5401782406,167.3150712195,159.6024532112
ETH,2019-04-13,163.5799827431,165.2382504247,166.0142708935,162.1620011157
ETH,2019-04-14,168.2816859782,163.7809405687,168.6729722836,161.9848446413
ETH,2019-04-15,161.2565403665,167.9639777994,169.3339980993,156.8817264905
ETH,2019-04-16,165.6484764816,160.9763295278,167.8432376701,160.2917735348
ETH,2019-04-17,166.3103092998,165.6484764819,168.1959472294,164.9580746846
ETH,2019-04-18,173.6138263386,166.7711375686,175.9973429248,166.2979098236
